title,price
"SAMSUNG 8 kg 5 Star, AI, Wi-Fi,Digital Inverter Fully A...","₹31,990"
SAMSUNG 21 L Convection Microwave Oven,"₹9,990"
"SAMSUNG Original 25W, Type C Power Adaptor compatible f...","₹1,099"
SAMSUNG Evo Plus 64 GB MicroSDXC Class 10 130 MB/s  Mem...,₹455
SAMSUNG Evo Plus 128 GB MicroSDXC Class 10 130 MB/s  Me...,₹829
"SAMSUNG Original 25W, Type C Power Adaptor compatible f...","₹1,098"
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV wit...,"₹13,990"
SAMSUNG Galaxy Book2 Core i5 1235U 12th Gen - (16 GB/51...,"₹64,990"
SAMSUNG Crystal 4K iSmart Series 108 cm (43 inch) Ultra...,"₹30,990"
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹8,099"
"SAMSUNG 6 kg Inverter, 5 star, Hygiene Steam,Digital In...","₹24,890"
SAMSUNG Crystal 4K iSmart Series 138 cm (55 inch) Ultra...,"₹45,990"
SAMSUNG Evo Plus 256 GB MicroSDXC Class 10 130 MB/s  Me...,"₹1,529"
SAMSUNG 7 kg Diamond drum Fully Automatic Top Load Wash...,"₹15,790"
"SAMSUNG 6 kg 5 star,Air Turbo Drying Semi Automatic Top...","₹8,990"
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹14,849"
SAMSUNG Crystal 4K iSmart Series 125 cm (50 inch) Ultra...,"₹43,990"
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD...,"₹46,990"
"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)","₹15,057"
"SAMSUNG 7.5 kg 5 star,Air Turbo Drying Semi Automatic T...","₹11,990"
SAMSUNG Galaxy Book 2 Core i5 1235U 12th Gen - (16 GB/5...,"₹60,990"
"SAMSUNG 8 kg 5 Star, AI Ecobubble,Wi-Fi,Hygiene Steam,D...","₹36,990"
SAMSUNG Crystal Vision 108 cm (43 inch) Ultra HD (4K) L...,"₹33,990"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999"
"SAMSUNG 10000 mAh Power Bank (25 W, Fast Charging)","₹1,999"
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹15,085"
"SAMSUNG 9 kg 5 Star, Eco Bubble Technology with Super S...","₹44,000"
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED S...,"₹45,990"
SAMSUNG 6 kg Inverter 5 Star Hygiene Steam Fully Automa...,"₹23,490"
"SAMSUNG 7 kg 5 star, Ecobubble Technology, Wi-Fi, Digit...","₹18,790"
"SAMSUNG 7 kg 5 Star AI Control & Wi-Fi, Digital Inverte...","₹29,990"
SAMSUNG 32 L Convection & Grill Microwave Oven,"₹16,990"
SAMSUNG Micro USB Cable 2 A 1 mm EP-DA705BBEGIN,₹599
"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)","₹13,666"
SAMSUNG 183 L Direct Cool Single Door 2 Star Refrigerat...,"₹13,790"
SAMSUNG 189 L Direct Cool Single Door 5 Star Refrigerat...,"₹17,890"
"SAMSUNG 7 kg 5 Star Inverter, Hygiene Steam Diamond Dru...","₹28,490"
SAMSUNG Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED S...,"₹43,990"
SAMSUNG Galaxy Buds 2 Bluetooth Headset,"₹6,299"
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹13,455"
